cdID,cdLen,track1Len,numTracks,Title,Artist,Anthology,lastTrackIDSelected,lastLoopSelected
1,0,0,0,No CD In Drive,,FALSE,0,0
2,4605494,195734,15,CD Title,Artist,FALSE,0,0
3,2398507,47707,10,"Loops, Live & Otw",Warren Sirota,FALSE,0,12454
